brand,logo_url
ADIDAS,https://worldvectorlogo.com/logo/adidas
ADIDAS YEEZY,https://seeklogo.com/vector-logo/453635/adidas-yeezy
ARMANI EXCHANGE,https://worldvectorlogo.com/logo/armani-exchange
ASICS,https://worldvectorlogo.com/logo/asics-6
ASSO,
BABOLAT,https://worldvectorlogo.com/logo/logo-babolat-1
BLANDITOS BY CRIO'S,
BLAUER,https://worldvectorlogo.com/logo/blauer
BRÃœTTING,https://vtlogo.com/bruetting-international-vector-logo-svg/
CAMPER,https://worldvectorlogo.com/logo/camper-1
CAMPAGNOLO,
CATERPILLAR,
CHAMPION,
CHICCO,
CONVERSE,https://worldvectorlogo.com/logo/converse-logo
CROCS,https://worldvectorlogo.com/logo/crocs
DC SHOES,
DECATHLON,https://worldvectorlogo.com/logo/decathlon-logo
DIADORA,https://worldvectorlogo.com/logo/diadora-4
DOMYOS,https://seeklogo.com/vector-logo/270981/domyos
DR.MARTENS,https://worldvectorlogo.com/logo/dr-martens
ECCO,https://worldvectorlogo.com/logo/ecco-2
ECOALF,https://worldvectorlogo.com/logo/ecoalf
ENDURANCE,
FILA,https://worldvectorlogo.com/logo/fila-1
GARVALIN,https://brandfetch.com/garvalin.com
GEOX,https://worldvectorlogo.com/logo/geox-logo-1
GLOBE,https://worldvectorlogo.com/logo/globe-4
GOLA,https://seeklogo.com/vector-logo/321137/gola
HEAD,https://worldvectorlogo.com/logo/head-logo
HOFF,https://brandfetch.com/thehoffbrand.com
HUMMEL,https://worldvectorlogo.com/logo/hummel-1
JACK&JONES,https://worldvectorlogo.com/logo/jack-jones
JOMA,https://worldvectorlogo.com/logo/joma-sport-1
JORDAN,https://worldvectorlogo.com/logo/jordan-2
JUNGLO,
KANGAROOS,https://worldvectorlogo.com/logo/kangaroos-1
KAPPA,https://worldvectorlogo.com/logo/kappa-1
KAWASAKI,https://worldvectorlogo.com/logo/kawasaki-logo
KEEN,https://worldvectorlogo.com/logo/keen-s
KICKERS,https://worldvectorlogo.com/logo/kickers
KIPSTA,https://worldvectorlogo.com/logo/kipsta
LACOSTE,https://worldvectorlogo.com/logo/lacoste-logo
LE COQ SPORTIF,https://worldvectorlogo.com/logo/le-coq-sportif-1
LICO,https://worldvectorlogo.com/logo/lico
LOIS,https://worldvectorlogo.com/logo/lois
LOTTO,https://worldvectorlogo.com/logo/lotto-8
MBT,https://brandfetch.com/mbt.com
MIZUNO,https://worldvectorlogo.com/logo/mizuno-3
MTNG,
MUNICH,https://worldvectorlogo.com/logo/munich-1
MUSTANG,https://worldvectorlogo.com/logo/mustang-2
NEW BALANCE,https://worldvectorlogo.com/logo/new-balance-3
NEWFEEL,https://worldvectorlogo.com/logo/newfeel
NIKE,https://worldvectorlogo.com/logo/nike-11
SUPREME,https://worldvectorlogo.com/logo/supreme
ON RUNNING,https://seeklogo.com/vector-logo/510256/on-running
ONITSUKA TIGER,https://worldvectorlogo.com/logo/onitsuka-tiger
OXELO,https://worldvectorlogo.com/logo/oxelo
PABLOSKY,https://brandfetch.com/pablosky.com
PALLADIUM,https://worldvectorlogo.com/logo/palladium-1
PEAK,https://www.brandsoftheworld.com/logo/peak-2
PEPE JEANS,https://worldvectorlogo.com/logo/pepe-jeans
PUMA,https://worldvectorlogo.com/logo/puma-logo
REEBOK,https://worldvectorlogo.com/logo/reebok
REFRESH,https://brandfetch.com/refreshshoes.com
RIGORER,https://brandfetch.com/rigorer.com
SAGUARO,https://brandfetch.com/saguaro-footwear.com
SAUCONY,https://worldvectorlogo.com/logo/saucony-1
SERGE BLANCO,https://worldvectorlogo.com/logo/serge-blanco-1
SKECHERS,https://worldvectorlogo.com/logo/skechers-1
SOREL,https://worldvectorlogo.com/logo/sorel-2
SUN68,https://seeklogo.com/vector-logo/217423/sun-68
TARMAK,https://brandfetch.com/tarmak.com
TBS,https://worldvectorlogo.com/logo/tbs-logo-1
TEVA,https://worldvectorlogo.com/logo/teva-3
TIMBERLAND,https://worldvectorlogo.com/logo/timberland-1
TOMMY HILFIGER,https://worldvectorlogo.com/logo/tommy-hilfiger-6
UMBRO,https://worldvectorlogo.com/logo/umbro-6
UNDER ARMOUR,https://worldvectorlogo.com/logo/under-armour-2
VANS,https://worldvectorlogo.com/logo/vans-5
VICTORIA,https://worldvectorlogo.com/logo/victoria-4
XTI,https://worldvectorlogo.com/logo/xti
XTIKIDS,https://brandfetch.com/xtikids.com
ZIGZAG,https://brandfetch.com/zigzag.dk
